لفظ,معنی
नक़्शा,نقشہ
काग़ज़,کاغذ
नारा,نعرہ
इत्तफ़ाक़,اتفاق
ज़ाहिर,ظاہر
यानी,یعنی
साबित,ثابت
सही,صحیح
क़िश्त,قسط
मुलाक़ात,ملاقات
तय,طے
वास्ते,واسطے
राज़ी,راضی
तबला,طبلہ
ग़लत,غلط
वादा,وعدہ
ज़रूर,ضرور
नुस्ख़ा,نسخہ
ख़ास,خاص
शौक़,شوق
इस्तमाल,استعمال
हिस्सा,حصّہ
बग़ैर,بغیر
आदत,عادت
तहज़ीब,تہذیب
ज़रिया,ذریعہ
ईसवी,عیسوی
लिहाज़ा,لہٰذا
इज़हार,اظہار
मक़सद,مقصد
एतबार,اعتبار
दावा,دعویٰ
इलाक़ा,علاقہ
मौक़ा,موقہ
अलावा,علاوہ
उसूल,اصول
मानी,معنی
लुत्फ,لطف
हैसियत,حیثیت
वाक़्यात,واقعات
ताक़त,طاقت
क़िस्से,قصے
तौर,طور
दरअसल,دراصل
तस्वीर,تصویر
दायरा,دائرہ
माहौल,ماحول
उमदा,عمدہ
शोले,شعلے
तबक़ा,تبقہ
इन्साफ़,انصاف
पुख़ता,پختہ
मुताबिक़,مطابق
नसीब,نصیب
सलीक़ा,سلیقہ
मालूम,معلوم
हाल,حال
मसलन,مثلاً
साफ़,صاف
नसीहत,نصیحت
मज़ाक़,مذاق
बहस,بحث